Solution option name,Time taken to complete step,Cost of transaction fee,Cost of additional fee,Sender’s Currency,Sender’s country,Recipient’s currency,Recipient’s country,Transaction amount,Settled amount,Sender_id,Receiver_id,Transaction_id,Transacted at timestamp,Cost Ratio,Time Cost Interaction,Transaction Efficiency
Western Union,49,7.915409701044071,1.2312155116537606,EUR,Germany,EUR,USA,6777.206464875696,6768.0598396629985,S36,R36,T36,2023-12-24 17:31:38.236838,0.0013496158424716952,448.1846354221937,0.9986503841575284
PayPal,35,16.629992030804658,2.939555093483438,GBP,Germany,EUR,Canada,7084.3440230736705,7064.774475949383,S37,R37,T37,2024-02-18 17:31:38.236840,0.0027623654442175856,684.9341493500833,0.9972376345557824
PayPal,34,14.949678241253846,0.7855796314008412,EUR,Japan,GBP,Germany,250.8116551850704,235.0763973124157,S38,R38,T38,2023-10-28 17:31:38.236842,0.0627373471182743,534.9987676702593,0.9372626528817256
PayPal,55,17.345304702669313,3.615018696361482,CAD,Canada,USD,USA,3512.352537145051,3491.3922137460204,S39,R39,T39,2024-08-07 17:31:38.236843,0.00596760239109369,1152.8177869466938,0.9940323976089064
Western Union,67,14.054380251198495,1.5028943824489955,EUR,Canada,GBP,Germany,5990.165953576306,5974.608678942658,S40,R40,T40,2023-11-09 17:31:38.236845,0.002597135831330239,1042.3374004543819,0.9974028641686697
PayPal,46,13.789162380712456,3.194977435845138,EUR,USA,GBP,Japan,2315.0460694690632,2298.0619296525056,S41,R41,T41,2024-01-27 17:31:38.236846,0.007336415478095762,781.2704315616493,0.9926635845219042
PayPal,61,12.347600765736821,2.948292737685178,CAD,Japan,JPY,UK,1555.8603056944532,1540.5644121910314,S42,R42,T42,2024-01-25 17:31:38.236848,0.009831148366880359,933.049503708742,0.9901688516331197
PayPal,28,17.337420531993146,1.4479128794172598,CAD,Japan,EUR,Germany,4501.919922915234,4483.134589503823,S43,R43,T43,2024-05-24 17:31:38.236850,0.004172738239032448,525.9893355194913,0.9958272617609675
PayPal,32,12.568088174221401,2.9097496526787823,EUR,Germany,JPY,USA,770.2972359827473,754.8193981558471,S44,R44,T44,2024-04-20 17:31:38.236851,0.020093331643795287,495.29081046080586,0.9799066683562047
PayPal,54,10.639140660297258,3.8420284823211794,EUR,Germany,USD,USA,7431.3897836185315,7416.908614475913,S45,R45,T45,2023-09-24 17:31:38.236853,0.00194864884823296,781.9831337013957,0.998051351151767
PayPal,35,11.6276448224664,3.152461386625292,JPY,Japan,GBP,Germany,341.05618857160755,326.27608236251587,S46,R46,T46,2024-01-06 17:31:38.236855,0.04333627919491186,517.3037173182092,0.9566637208050882
Western Union,21,7.223094323812753,3.171775480513688,USD,Canada,CAD,USA,8107.747175097639,8097.352305293312,S47,R47,T47,2024-08-18 17:31:38.236856,0.0012820910149065248,218.29226589085528,0.9987179089850934
PayPal,63,15.25621746127937,0.6585640342021558,JPY,Canada,EUR,USA,3871.203623339418,3855.288841843936,S48,R48,T48,2024-06-02 17:31:38.236858,0.0041110680408366,1002.6312342153361,0.9958889319591634
PayPal,14,15.891529002175833,2.655479075364698,EUR,Germany,USD,Canada,9450.13772469542,9431.590716617879,S49,R49,T49,2024-03-10 17:31:38.236859,0.001962617754138425,259.65811308556744,0.9980373822458615
PayPal,33,15.803188450978762,2.5067846458517664,CAD,Germany,GBP,USA,1459.3034616923198,1440.9934885954892,S50,R50,T50,2024-02-20 17:31:38.236861,0.01254706342956035,604.2291121954074,0.9874529365704396
PayPal,12,17.665548969026485,2.7801967015022577,GBP,Japan,JPY,UK,2225.506726792105,2205.0609811215763,S51,R51,T51,2024-01-09 17:31:38.236862,0.009187006906961679,245.34894804634493,0.9908129930930384
Western Union,60,15.037300496392607,1.6779397521105428,CAD,Japan,EUR,USA,6626.081826731273,6609.36658648277,S52,R52,T52,2024-04-28 17:31:38.236864,0.00252264319783521,1002.914414910189,0.9974773568021648
PayPal,43,10.38902886706674,2.2361310900269213,EUR,Japan,EUR,Germany,6990.325515181006,6977.700355223913,S53,R53,T53,2023-12-01 17:31:38.236865,0.0018060904216370742,542.8818781550274,0.998193909578363
PayPal,45,12.433298412302523,3.8865319303208663,GBP,Germany,JPY,USA,5570.124455831256,5553.804625488632,S54,R54,T54,2023-10-16 17:31:38.236867,0.0029298861222999202,734.3923654180526,0.9970701138777001
Western Union,57,8.659966482492052,1.3750575722563663,GBP,Japan,USD,USA,5889.3313209703165,5879.296296915568,S55,R55,T55,2023-11-02 17:31:38.236868,0.0017039326721212664,571.9963711206599,0.9982960673278787
Western Union,34,10.097069981251732,1.822051101617032,USD,Japan,JPY,Canada,5436.409240599522,5424.490119516653,S56,R56,T56,2024-03-29 17:31:38.236870,0.002192462074756229,405.25011681753796,0.9978075379252438
ACH,58,11.946008393670816,0.5379317801810443,USD,Canada,JPY,Japan,9072.743368908783,9060.259428734931,S57,R57,T57,2023-11-03 17:31:38.236871,0.0013759829487333284,724.0685300834078,0.9986240170512667
Western Union,67,15.213883758207391,2.0695593269241193,CAD,Canada,CAD,USA,3073.465562641032,3056.1821195559005,S58,R58,T58,2024-06-01 17:31:38.236873,0.005623438015775205,1157.9906867038112,0.9943765619842247
PayPal,62,17.290527568436033,3.2636634997809386,GBP,USA,JPY,Japan,1093.8198098771657,1073.2656188089486,S59,R59,T59,2024-06-11 17:31:38.236874,0.018791203891731653,1274.3598462294524,0.9812087961082683
SEPA,3,4.5508167310331995,1.7282025439322755,EUR,Germany,JPY,UK,1347.2567609905375,1340.977741715572,S60,R60,T60,2023-10-12 17:31:38.236876,0.004660595854311379,18.837057824896426,0.9953394041456886
PayPal,26,8.314594789596274,0.794373821402491,EUR,Canada,EUR,USA,7069.497488299376,7060.388519688377,S61,R61,T61,2024-05-27 17:31:38.236877,0.0012884888389980884,236.8331838859679,0.9987115111610019
PayPal,11,8.057534148344697,0.7969319992981717,EUR,Germany,GBP,USA,9869.067869311519,9860.213403163876,S62,R62,T62,2023-10-13 17:31:38.236879,0.0008971937638787938,97.39912762407155,0.9991028062361212
Western Union,16,19.81801382969732,3.1368236484062955,CAD,Japan,USD,USA,3887.3439382029746,3864.3891007248712,S63,R63,T63,2024-07-11 17:31:38.236880,0.005905018398941845,367.27739964965787,0.9940949816010582
PayPal,35,11.29328287724828,2.0205814557089496,CAD,UK,GBP,USA,2686.0853039567596,2672.7714396238025,S64,R64,T64,2024-07-03 17:31:38.236882,0.004956605180537318,465.98525165350304,0.9950433948194627
PayPal,17,8.527841208102362,2.7722360574062224,EUR,Germany,CAD,Japan,7511.239816801149,7499.93973953564,S65,R65,T65,2024-04-19 17:31:38.236883,0.001504422377812057,192.10131351364592,0.9984955776221879
Western Union,34,18.291788666462985,1.2825854348180843,USD,Japan,CAD,Canada,9639.580886517992,9620.00651241671,S66,R66,T66,2024-03-11 17:31:38.236885,0.0020306250169712225,665.5287194435564,0.9979693749830287
Western Union,30,7.564210182876246,3.7362516557825862,JPY,Canada,JPY,USA,9207.334009730863,9196.033547892204,S67,R67,T67,2023-11-05 17:31:38.236886,0.00122733267053371,339.01385515976494,0.9987726673294663
Western Union,27,9.160800614820289,1.2588318730527193,GBP,Canada,CAD,UK,3086.040679026413,3075.6210465385398,S68,R68,T68,2023-11-19 17:31:38.236888,0.003376375612508194,281.33007717257124,0.9966236243874917
Western Union,21,19.463131296302002,0.7025236421519758,GBP,USA,USD,Germany,4066.3136263596725,4046.1479714212187,S69,R69,T69,2024-02-10 17:31:38.236889,0.0049591981316274136,423.47875370753354,0.9950408018683726
PayPal,35,12.047488991868338,1.302881609967324,EUR,Canada,CAD,USA,2806.191664649542,2792.8412940477065,S70,R70,T70,2024-05-01 17:31:38.236891,0.004757469266983571,467.2629710642482,0.9952425307330165
PayPal,26,10.636925593196295,1.9392235230526518,CAD,Japan,GBP,USA,6107.262443828326,6094.686294712076,S71,R71,T71,2024-07-28 17:31:38.236892,0.002059212164520248,326.97987702247264,0.9979407878354797
PayPal,27,12.416307750600229,2.534069174132892,GBP,Japan,JPY,USA,9207.930207988484,9192.97983106375,S72,R72,T72,2024-04-24 17:31:38.236894,0.00162364142505801,403.66017696779426,0.998376358574942
Western Union,14,7.342770668464276,1.8176217840731737,EUR,Germany,GBP,Japan,8143.422641661962,8134.262249209425,S73,R73,T73,2024-02-03 17:31:38.236895,0.0011248823566730583,128.24549433552428,0.998875117643327
SWIFT,46,28.38328704711138,2.140426059282396,JPY,USA,EUR,Canada,4265.231122909119,4234.707409802725,S74,R74,T74,2024-01-10 17:31:38.236897,0.007156403070972376,1404.0908028941137,0.9928435969290276
Western Union,40,16.748839743109635,3.69608013290175,CAD,USA,USD,Germany,5934.465416789625,5914.020496913614,S75,R75,T75,2024-05-27 17:31:38.236898,0.0034451156827317894,817.7967950404553,0.9965548843172682
Western Union,26,10.134102820285214,1.2176586497728372,EUR,Japan,EUR,USA,2664.1359072156247,2652.7841457455665,S76,R76,T76,2024-03-02 17:31:38.236900,0.00426095434520161,295.1457982215093,0.9957390456547983
Western Union,49,15.035667125952646,1.7535695131149418,CAD,Japan,USD,USA,1312.8644035563643,1296.0751669172967,S77,R77,T77,2023-11-11 17:31:38.236905,0.012788248804360844,822.6725953143118,0.9872117511956391
SEPA,11,2.2311089590841977,3.357350073245718,EUR,Germany,GBP,UK,9686.142901310266,9680.554442277937,S78,R78,T78,2024-03-22 17:31:38.236906,0.0005769540145411186,61.47304935562907,0.999423045985459
Western Union,23,16.15303698528991,1.2453745652811876,USD,UK,JPY,USA,1536.4404607503436,1519.0420491997725,S79,R79,T79,2024-07-09 17:31:38.236908,0.011323843647071312,400.16346566313524,0.9886761563529286
PayPal,39,14.212602911048933,0.818507318679656,EUR,Canada,EUR,Germany,7318.690919972237,7303.6598097425085,S80,R80,T80,2024-04-21 17:31:38.236909,0.00205379765235196,586.2132989594149,0.9979462023476481
SWIFT,39,28.62363708746745,3.823322182801747,USD,USA,CAD,UK,1641.3201131045719,1608.8731538343027,S81,R81,T81,2023-10-14 17:31:38.236911,0.019768818410989604,1265.4314115404986,0.9802311815890103
SWIFT,49,24.591357562382612,3.9301140134991694,USD,USA,CAD,UK,5027.657321130122,4999.13584955424,S82,R82,T82,2024-05-18 17:31:38.236912,0.005672914789958417,1397.5521072182073,0.9943270852100415
PayPal,20,7.986223265412631,0.9510790266872723,GBP,Japan,GBP,Germany,1454.84922178617,1445.91191949407,S83,R83,T83,2024-04-10 17:31:38.236914,0.006143112398360609,178.74604584199807,0.9938568876016394
SEPA,8,2.6466448574301125,3.56011161699046,CAD,UK,CAD,Germany,5249.313337669267,5243.1065811948465,S84,R84,T84,2024-08-19 17:31:38.236915,0.0011823939771094742,49.65405179536458,0.9988176060228906
Western Union,30,9.19615581993814,1.4750661866118553,EUR,Germany,GBP,USA,1934.7027459121189,1924.031523905569,S85,R85,T85,2024-02-04 17:31:38.236917,0.005515690732903276,320.13666019649986,0.9944843092670967
Western Union,21,9.682338339275303,1.774944513668264,USD,Japan,JPY,Germany,5133.489254377598,5122.031971524654,S86,R86,T86,2023-09-29 17:31:38.236918,0.0022318704267615514,240.60293991181493,0.9977681295732385
Western Union,56,15.1627050633818,0.7861566118210517,USD,Japan,EUR,UK,8761.070516246416,8745.121654571214,S87,R87,T87,2024-08-04 17:31:38.236920,0.0018204238449659193,893.1362538113598,0.9981795761550342
Western Union,17,16.72737597498756,1.1458235677473207,EUR,Japan,CAD,USA,2251.623368699761,2233.7501691570264,S88,R88,T88,2023-12-04 17:31:38.236921,0.007937917056286402,303.84439222649297,0.9920620829437137
PayPal,23,8.920608194780947,0.9659092500561739,EUR,Germany,JPY,Japan,6934.221952952645,6924.335435507807,S89,R89,T89,2024-06-25 17:31:38.236923,0.0014257572820592175,227.3899012312538,0.9985742427179407
PayPal,67,11.603906720310631,1.8900734137642887,CAD,UK,JPY,Canada,1227.717832018313,1214.223851884238,S90,R90,T90,2024-01-24 17:31:38.236925,0.01099110869139322,904.0966689830196,0.9890088913086068
Western Union,48,8.159656273256731,2.373674474054332,EUR,Japan,USD,Canada,2485.5208331880517,2474.9875024407406,S91,R91,T91,2023-10-03 17:31:38.236926,0.004237876668207401,505.599875870931,0.9957621233317926
PayPal,12,15.434696923790488,2.1785373561398758,USD,Japan,CAD,Canada,5925.154950198859,5907.541715918929,S92,R92,T92,2023-08-30 17:31:38.236928,0.002972620029006875,211.35881135916435,0.9970273799709932
Western Union,51,10.689086775383418,1.770788037395223,USD,Germany,CAD,Canada,6529.988965049692,6517.529090236913,S93,R93,T93,2023-11-22 17:31:38.236929,0.0019081004392912972,635.4536154517107,0.9980918995607088
PayPal,46,19.13799370887837,0.5263702709692616,GBP,Germany,JPY,Canada,2408.2614175827766,2388.597053602929,S94,R94,T94,2024-04-12 17:31:38.236931,0.008165377660530382,904.560743072991,0.9918346223394696
Western Union,12,13.81864806441331,1.9363888944638152,GBP,Canada,USD,Germany,9827.310445704343,9811.555408745466,S95,R95,T95,2024-05-27 17:31:38.236932,0.0016031890969480747,189.0604435065255,0.9983968109030519
PayPal,24,17.621936922340637,1.4026598946572895,CAD,Germany,GBP,Japan,1874.698356422645,1855.673759605647,S96,R96,T96,2024-08-17 17:31:38.236934,0.010148084224760951,456.59032360795027,0.989851915775239
SEPA,11,3.2864507578795994,1.4799268278109947,USD,UK,EUR,Germany,7741.030745280982,7736.264367695291,S97,R97,T97,2023-09-30 17:31:38.236935,0.0006157290601895918,52.430153442596534,0.9993842709398104
SEPA,4,3.03044151473782,1.348434063452781,CAD,Germany,GBP,UK,1325.4008824441946,1321.022006866004,S98,R98,T98,2024-01-09 17:31:38.236937,0.003303812179538798,17.515502312762404,0.9966961878204611
SEPA,4,2.282568768638057,2.578590841452646,JPY,Germany,GBP,UK,3818.458718796982,3813.597559186891,S99,R99,T99,2024-04-13 17:31:38.236938,0.0012730685253086165,19.444638440362812,0.9987269314746914
PayPal,22,15.899430122437833,0.8075383893492989,EUR,Germany,CAD,USA,1560.4827797317996,1543.7758112200124,S100,R100,T100,2024-01-05 17:31:38.236940,0.01070628188198178,367.5533072593169,0.9892937181180181
Western Union,33,14.879324453725902,3.2800130748826186,USD,USA,GBP,Germany,1245.6526511116733,1227.4933135830647,S101,R101,T101,2024-04-21 17:31:38.236941,0.014578171139765454,599.2581384440812,0.9854218288602344
PayPal,23,19.12819487229941,3.968253167600867,CAD,Japan,CAD,Germany,2209.017738521725,2185.9212904818246,S102,R102,T102,2023-10-25 17:31:38.236943,0.010455528553318194,531.2183049177064,0.9895444714466818
PayPal,38,8.817040896141764,3.283435591509616,USD,UK,CAD,Canada,2175.9477364678964,2163.847259980245,S103,R103,T103,2023-09-20 17:31:38.236944,0.005561014304182442,459.8181065307524,0.9944389856958175
Western Union,68,15.238861328362304,3.677531456618806,JPY,UK,JPY,USA,3298.726506505647,3279.810113720666,S104,R104,T104,2023-09-04 17:31:38.236946,0.005734453204191005,1286.3147093787154,0.9942655467958089
Western Union,47,14.01715380489023,2.035606363859187,EUR,Germany,GBP,USA,5859.365454880031,5843.312694711282,S105,R105,T105,2023-11-11 17:31:38.236948,0.0027396755318239647,754.4797279312226,0.9972603244681761
PayPal,49,15.115093946881897,0.9091431424792742,EUR,USA,JPY,Germany,9410.354811412057,9394.330574322696,S106,R106,T106,2023-10-04 17:31:38.236949,0.0017028302769124472,785.1876173786974,0.9982971697230876
Western Union,56,15.060945827070675,2.3671138219171253,EUR,UK,CAD,Japan,8960.147313899384,8942.719254250396,S107,R107,T107,2023-11-12 17:31:38.236951,0.0019450639636195055,975.9713403433169,0.9980549360363805
Western Union,46,17.121435207659765,1.0009479494196436,USD,Canada,USD,USA,2204.53701306074,2186.4146299036606,S108,R108,T108,2024-02-26 17:31:38.236952,0.008220493940321108,833.6296252256528,0.991779506059679
SEPA,10,2.36832699486363,3.374400566352045,JPY,Germany,GBP,UK,1284.1910221610308,1278.4482945998152,S109,R109,T109,2024-02-27 17:31:38.236954,0.004471863968922504,57.42727561215675,0.9955281360310776
PayPal,14,13.322647265942901,1.9313431197992263,CAD,Canada,JPY,USA,7764.443409862802,7749.189419477059,S110,R110,T110,2023-09-06 17:31:38.236955,0.001964595474591999,213.5558654003898,0.998035404525408
PayPal,45,16.31032797152838,2.5966027767206428,GBP,UK,GBP,Canada,8302.628512528969,8283.72158178072,S111,R111,T111,2024-05-17 17:31:38.236957,0.0022772222940864784,850.8118836712061,0.9977227777059134
PayPal,35,14.620987816218364,2.2706103760956307,EUR,Germany,GBP,Japan,6192.251507259549,6175.359909067235,S112,R112,T112,2024-01-11 17:31:38.236958,0.002727860483785414,591.2059367309897,0.9972721395162146
PayPal,57,16.056460710399598,3.7287478341205347,CAD,Canada,CAD,UK,7130.938616271306,7111.153407726786,S113,R113,T113,2024-07-30 17:31:38.236960,0.002774558807640615,1127.7568870376474,0.9972254411923593
Western Union,63,8.005173851354234,0.8648643811813332,CAD,Germany,EUR,USA,8436.308393408144,8427.43835517561,S114,R114,T114,2023-12-02 17:31:38.236961,0.0010514122787955837,558.8124086497407,0.9989485877212044
Western Union,35,17.905675123797145,0.9363193842114339,USD,UK,JPY,Canada,9224.250449650248,9205.40845514224,S115,R115,T115,2023-09-06 17:31:38.236963,0.002042658599834852,659.4698077803002,0.9979573414001652
Western Union,18,9.672537508883288,3.2572646105007235,JPY,UK,USD,Japan,6116.471010955362,6103.541208835978,S116,R116,T116,2024-02-27 17:31:38.236964,0.002113931725700183,232.73643814891219,0.9978860682742999
PayPal,20,18.9984830133803,2.129950428115846,CAD,UK,USD,Canada,4912.202385272921,4891.073951831425,S117,R117,T117,2024-07-26 17:31:38.236966,0.004301213953407227,422.568668829923,0.9956987860465928
PayPal,68,8.831141264937399,1.1173544527717816,GBP,UK,GBP,USA,5084.004172846901,5074.055677129192,S118,R118,T118,2024-03-22 17:31:38.236967,0.0019568228859533562,676.4977088042243,0.9980431771140467
Western Union,52,15.219435742953895,0.5458305980591678,USD,Japan,USD,Canada,6702.666245763764,6686.900979422751,S119,R119,T119,2024-03-18 17:31:38.236969,0.0023520888200239815,819.7938497326792,0.9976479111799761
PayPal,63,18.188216232579542,2.3727440162678053,USD,USA,USD,Japan,2007.7361399047898,1987.1751796559424,S120,R120,T120,2024-06-26 17:31:38.236970,0.010240867731664372,1295.340495677383,0.9897591322683357
Western Union,65,18.67470576272928,1.2179887416870252,JPY,USA,GBP,Japan,2068.7396625039323,2048.846967999516,S121,R121,T121,2024-02-13 17:31:38.236972,0.009615852040241188,1293.0251427870598,0.9903841479597588
Western Union,23,16.282769597267766,2.34676705550675,GBP,Japan,EUR,USA,5437.667734321019,5419.038197668245,S122,R122,T122,2024-06-21 17:31:38.236973,0.0034260159985852303,428.47934301381383,0.9965739840014147
SWIFT,30,23.34362811310482,0.7642617733136123,GBP,USA,CAD,UK,7581.812963325018,7557.705073438599,S123,R123,T123,2024-02-09 17:31:38.236975,0.0031796998953988803,723.236696592553,0.9968203001046011
SEPA,12,4.202999085944484,3.926260024655864,GBP,Germany,EUR,UK,8429.93082267439,8421.80156356379,S124,R124,T124,2023-11-26 17:31:38.236976,0.0009643328375524374,97.55110932720417,0.9990356671624475
Western Union,12,10.003972355644928,2.8516246025955496,USD,Japan,USD,Canada,393.16326999276873,380.30767303452825,S125,R125,T125,2024-06-11 17:31:38.236978,0.03269785847105434,154.26716349888574,0.9673021415289457
SWIFT,48,26.527461078518748,1.3336397336635428,JPY,USA,GBP,Canada,1174.5256490415827,1146.6645482294005,S126,R126,T126,2024-02-27 17:31:38.236979,0.023721151457966928,1337.33283898475,0.9762788485420331
Western Union,63,9.664795840405674,1.5260170559135464,CAD,UK,CAD,Japan,8984.091021506974,8972.900208610656,S127,R127,T127,2023-12-28 17:31:38.236981,0.0012456255028504926,705.0212124681109,0.9987543744971495
